,titles,video_url,is_violent,escalation_timestamps
0,San Diego Police Officers Fatally Shoot Man Who Fired On Them,https://www.youtube.com/watch?v=PLV9pgGS96U,1.0,"[1.0, 36.0, 124.0, 126.0]"
1,Georgia Police Officer Pulls Over Chief Deputy For Speeding,https://www.youtube.com/watch?v=ZqfSUY9Agq0,0.0,[]
2,Registered Violent Sexual Predator Tries To Run From Florida Police,https://www.youtube.com/watch?v=OZ8EbLhNORY,1.0,[46.5]
3,Bodycam Footage of U.S. Marshal Fatally Shooting Omari Cryer in Louisville,https://www.youtube.com/watch?v=TwfoTht585g,1.0,[6.5]
4,Man Attacks Officer with Knife in Front of Police Station,https://www.youtube.com/watch?v=zn7ArOvdUfg,1.0,"[37.0, 53.0]"
5,Indiana Officer Rescues 2 Labrador Retrievers Clinging to Edge of icy Pond,https://www.youtube.com/watch?v=GvItGE3p8ag,0.0,"[15.0, 25.0]"
6,Indianapolis Police Shoot Man Who Pointed Gun at an Officer,https://www.youtube.com/watch?v=XB2B2uBdTRE,1.0,"[3.9, 37.0, 57.0]"
7,Man in Tactical Gear Shot After Charging at Officers With a Crowbar,https://www.youtube.com/watch?v=0kkdPR-6qGY,1.0,"[14.0, 17.0, 23.0, 38.0, 45.0, 53.0, 57.0, 111.0, 117.0, 134.0, 137.0]"
8,Bodycam Captures Tampa Police Chief Using Position To Get Out of Traffic Violation,https://www.youtube.com/watch?v=ZgU6zNW5BOA,0.0,[]
9,"Cruiser Cam Shows Police Using PIT Maneuver To End a Chase in Dayton, Ohio",https://www.youtube.com/watch?v=ElSHZIG_aE8,0.0,"[5.0, 38.0, 45.0]"
10,Man Almost Gets Shot by Cops After Answering Door With Gun in Hand,https://www.youtube.com/watch?v=MO0TmKOVyFg,1.0,[28.5]
11,Officer Clings to Moving Car Before Firing Shots at Fleeing Suspect,https://www.youtube.com/watch?v=95Wj3U0fjRo,1.0,"[10.0, 28.0, 111.0]"
12,Fort Wayne Police Officer Saves Toddler From Drowning in Pool,https://www.youtube.com/watch?v=pVkOj9xdQOs,0.0,[38.0]
13,Helicopter Footage Shows Suspects in a Stolen BMW SUV Trying to Escape Deputies,https://www.youtube.com/watch?v=c1mzwj2gGJ4,1.0,"[46.0, 115.0]"
